Word,Frequency
film,42260
filmin,23062
filmi,20580
filmde,9860
güzel,8243
büyük,7320
zaman,6477
filme,6261
kötü,5893
fazla,5727
sadece,5505
başarılı,5416
aynı,5353
yönetmen,5263
yeni,4782
olmuş,4705
sinema,4671
gerçekten,4520
özellikle,4460
aksiyon,4427
farklı,4421
uzun,4189
oldukça,4008
bence,3783
oyuncu,3739
gerçek,3718
başka,3677
korku,3641
kesinlikle,3605
ortaya,3541
senaryo,3509
devam,3508
sahip,3424
komedi,3175
arasında,2967
konu,2912
hikaye,2882
önemli,2869
adam,2795
karakter,2794
kadın,2728
genç,2716
doğru,2701
üzerine,2639
filmleri,2627
tavsiye,2573
türk,2554
insan,2549
küçük,2537
yapım,2536
geçen,2498
gayet,2483
filmden,2452
birlikte,2430
belli,2395
gelen,2382
harika,2360
ikinci,2336
karşı,2307
filmler,2258
dışında,2233
dolu,2185
görsel,2160
konusu,2153
sahneleri,2131
gereken,2124
çıkan,2059
izlerken,2044
boyunca,2040
neredeyse,2011
alan,2003
içine,1964
kurgu,1959
hayal,1958
dünya,1956
karakteri,1951
gerilim,1947
eski,1944
hikayesi,1930
yüzden,1927
yönetmenin,1891
izledim,1882
hemen,1869
geri,1860
oyunculuk,1838
çocuk,1835
mükemmel,1830
eğlenceli,1813
kısa,1812
üzerinden,1811
sonunda,1799
yandan,1794
hollywood,1785
yeniden,1762
muhteşem,1758
sahne,1754
karakterler,1750
izlediğim,1730
derece,1724
filmdeki,1713
sahneler,1707
mümkün,1691
yazık,1670
yakın,1660
filmlerden,1655
ederim,1653
aile,1644
etkileyici,1642
dair,1631
filminde,1625
filmlerinden,1624
güçlü,1620
genel,1608
hakkında,1597
anlamda,1594
oscar,1594
tekrar,1590
izleyin,1579
komik,1571
filmdi,1552
serinin,1552
süper,1535
amerikan,1535
hayat,1532
sinemada,1532
başına,1528
karakterlerin,1527
izlemek,1525
savaş,1524
zamanda,1524
yapan,1521
olacak,1520
geliyor,1515
karşımıza,1514
hikayenin,1506
olabilir,1496
çalışan,1495
düşünüyorum,1485
spoiler,1478
vizyona,1462
sürekli,1453
basit,1452
çıkıyor,1450
erkek,1444
sahnesi,1440
açısından,1432
evet,1424
veren,1420
etmek,1416
kalan,1410
uzak,1404
üzerinde,1398
yüksek,1391
süre,1386
oyuncular,1385
filmini,1377
biçimde,1376
başlıyor,1368
klasik,1367
merak,1367
oyunculuklar,1357
ardından,1356
durum,1345
para,1341
sonuç,1337
arasındaki,1321
sonuna,1312
keyifli,1309
türlü,1295
ilginç,1294
bilim,1279
animasyon,1276
çizgi,1271
ayrı,1269
seyirler,1264
filminin,1262
sıradan,1255
veriyor,1254
işin,1253
altında,1246
saçma,1244
insanların,1243
filmlerin,1241
tercih,1238
seyirci,1237
anda,1235
romantik,1234
yorum,1231
açık,1225
amerika,1220
mutlaka,1219
özel,1215
azından,1214
sonu,1204
tahmin,1202
sıkıcı,1196
kabul,1195
konusunda,1195
duygusal,1193
insanın,1183
yapımı,1183
karakterin,1181
yanı,1169
filmle,1167
dikkat,1166
alıyor,1162
adeta,1156
olmasına,1151
görüntü,1149
gereksiz,1148
yönetmeni,1148
ilgi,1145
değer,1143
görmek,1143
aldığı,1132
seyirciyi,1131
john,1130
insanlar,1124
açıdan,1121
ciddi,1121
müthiş,1113
başarıyor,1113
geldi,1111
anlatıyor,1111
tatmin,1109
baştan,1107
filmlerinin,1105
saat,1103
asıl,1097
baba,1092
haline,1091
kalıyor,1087
adına,1078
yere,1076
puan,1075
gerçekçi,1072
çekici,1071
ağır,1068
vakit,1067
kahraman,1066
yaşayan,1065
söylemek,1065
öncelikle,1061
adlı,1060
benzer,1055
kalmış,1055
diyebilirim,1046
dünyanın,1045
imza,1044
teknik,1042
senaryosu,1042
adamın,1037
sayesinde,1036
ediyorum,1036
yanında,1035
takip,1035
dakika,1035
fazlasıyla,1034
içerisinde,1028
sanırım,1028
fantastik,1025
sıra,1024
filmlerini,1024
karakterleri,1023
sineması,1020
karar,1020
sağlam,1019
kişi,1016
sinemaya,1015
önceki,1013
yılmaz,1013
olay,1011
başta,1008
olmasa,1008
anne,1007
bakış,1006
fark,1005
müzik,1002
lazım,1000
orijinal,996
iyiydi,992
yavaş,988
hale,988
kaliteli,987
karanlık,981
giren,981
ünlü,979
tabi,978
verdiği,976
kolay,967
beğendim,964
güzeldi,959
zayıf,957
berbat,956
maalesef,951
yılında,948
seyirciye,947
vardır,947
oyuncuların,944
ufak,941
açıkçası,938
mutlu,937
sinemasının,936
filmlerinde,934
yüzünden,932
yaşadığı,930
sanat,930
hızlı,928
yerinde,927
dram,921
hayatta,918
yıllarda,917
tarz,915
mesela,913
zorunda,908
çekilmiş,907
yola,902
türkiye,900
başında,900
kara,895
yanlış,893
keyif,887
twitter,887
dahil,886
usta,885
araya,883
sahnede,882
çalışıyor,881
kadının,880
performansı,880
insanı,877
sona,877
final,877
üstelik,877
doğal,876
klişe,875
beraber,874
değildi,874
geçiyor,873
filmine,873
ortada,871
edici,863
performans,863
hele,862
popüler,862
resmen,860
izleyici,857
iyice,856
seyircinin,854
izlemeye,852
hafta,851
yarattığı,851
sürükleyici,848
ister,848
james,846
yerli,844
giden,843
filmlerde,843
kamera,842
anlatan,835
aşırı,834
olaylar,833
doğrusu,832
dramatik,831
uygun,830
başlayan,829
oyunculuğu,822
vasat,821
çeken,820
keşke,818
yıllar,818
haliyle,817
hayatını,811
savaşı,811
hikayesini,811
gelecek,804
fena,800
tarzı,799
beyaz,794
izlediğimiz,794
noktada,792
filmlerine,791
sırf,789
peki,789
yılın,787
yaşam,786
filminden,786
sonrasında,783
demek,779
marvel,777
yerde,776
yapılmış,772
karşımızda,771
orta,769
varsa,769
hayatı,768
yapmış,766
hakkını,766
eder,764
duygu,764
inanılmaz,762
vermek,762
isim,762
sene,761
hikayeyi,760
önüne,758
seri,756
çıkmış,755
olma,753
canlandırdığı,752
gişe,748
gösteriyor,746
istanbul,745
david,744
rahatsız,741
zamanlarda,740
roman,739
yaşanan,737
isteyen,737
michael,734
hali,733
aşık,731
adım,730
filmlere,729
konuda,727
çektiği,725
ölüm,719
dönem,717
yana,714
ilerleyen,712
sonuçta,710
gece,708
politik,705
sefer,705
olmadığını,704
sonraki,700
