Word,Frequency
film,3034
filmin,1534
filmi,1396
kötü,849
filmde,704
zaman,508
sadece,502
büyük,480
filme,465
korku,360
senaryo,359
güzel,354
sinema,348
başka,343
aynı,330
fazla,329
yazık,329
yeni,296
olmuş,288
ortaya,284
komedi,282
yönetmen,271
gerçekten,264
berbat,264
saçma,259
konu,254
aksiyon,248
uzun,233
oyuncu,232
hayal,208
kesinlikle,208
sıkıcı,207
belli,202
türk,202
başarılı,201
bence,200
özellikle,198
para,195
adam,191
oldukça,189
devam,187
filmler,187
filmden,187
filmleri,187
sahip,186
dışında,185
karakter,184
farklı,174
kaybı,171
kadın,170
gerçek,167
doğru,167
vasat,163
sahneleri,162
konusu,161
basit,160
yapım,159
hikaye,157
boyunca,155
dolu,153
arasında,152
üzerine,151
tavsiye,151
insan,150
gereksiz,149
çıkan,148
görsel,148
geçen,144
karakterler,143
maalesef,143
önemli,142
uzak,141
gelen,140
ikinci,139
genç,138
izlediğim,138
sahne,137
geri,136
komik,134
gerilim,134
karşı,132
sahneler,132
amerikan,132
oyunculuk,131
sonunda,129
hemen,128
alan,126
çalışan,126
saat,126
hollywood,125
olabilir,125
kurgu,125
eski,124
resmen,123
içine,123
filmdi,122
yüzden,122
izledim,122
filmlerden,122
karakteri,121
neredeyse,119
gereken,117
türlü,116
birlikte,115
sinemada,112
yapan,112
filmdeki,112
başına,112
vakit,111
kırıklığı,110
kısa,110
mümkün,110
küçük,110
olacak,109
sürekli,109
tekrar,108
altında,108
dakika,108
oyuncular,107
izlerken,107
geliyor,106
sahnesi,106
yere,104
filmlerin,103
üzerinden,103
işin,103
yeniden,103
yönetmenin,102
izlemek,102
sonuç,102
romantik,102
keşke,102
filmle,101
kalan,100
azından,99
derece,99
vizyona,99
sıradan,98
gitmeyin,98
filminde,98
ilginç,97
mantık,97
süre,96
çocuk,96
kişi,95
hikayesi,95
spoiler,95
başlıyor,95
klişe,95
ortada,94
durum,94
gayet,94
oyuncuların,94
karakterlerin,94
aşırı,93
oyunculuklar,93
savaş,92
erkek,92
merak,91
mesela,91
sonu,91
anda,91
yakın,90
seyirci,90
filmini,90
yılmaz,89
üzerinde,89
hakkında,88
hayatımda,87
olmamış,87
evet,87
filminin,87
karşımıza,87
baştan,86
sapan,85
popüler,84
kalıyor,84
yüksek,84
zayıf,84
yapımı,84
dair,83
olay,83
etmek,82
başarısız,82
sırf,82
konusunda,82
eğlenceli,82
kalmış,81
veren,81
filmlerinden,81
puan,81
süper,80
değildi,80
tahmin,80
boşa,80
geldi,80
açıkçası,79
özel,79
dünya,79
çekilmiş,79
kabul,78
görmek,78
sinemaya,78
hele,78
açık,77
asıl,77
açıdan,77
güçlü,76
paraya,76
genel,76
kamera,76
seyirciyi,75
filmlerinin,75
sineması,75
yanlış,75
çıkıyor,74
tercih,74
ciddi,74
hikayenin,74
amerika,74
anlamsız,73
yönetmeni,73
sonuna,73
izlemeye,73
teknik,72
yanı,71
çizgi,71
yorum,70
karar,70
imza,70
ötesi,70
çalışıyor,70
demek,70
insanların,69
takip,69
yandan,69
yapılmış,69
başında,68
zamanda,68
seyircinin,68
sinemasının,68
etmiyorum,68
adına,68
iyice,68
vardır,68
ayrı,68
serinin,68
karanlık,67
beğenmedim,67
sanırım,67
efektler,67
lazım,67
insanlar,67
fantastik,67
peki,66
ünlü,66
adlı,66
sakın,66
filmlere,66
fena,66
arasındaki,66
filmlerini,66
giren,65
klasik,65
dikkat,65
veriyor,65
haliyle,65
olmasına,65
yerli,65
içerisinde,64
adeta,64
yıllarda,64
fikir,64
diyaloglar,64
sahnede,64
twitter,63
adamın,63
hafta,63
senaryosu,63
tarz,63
açısından,63
filmlerinde,63
tarzı,62
gittim,62
olmaya,62
çekici,62
ucuz,62
aile,62
recep,62
fark,62
öncelikle,61
varsa,61
ister,61
doğrusu,61
biçimde,61
espri,61
üstelik,61
hali,60
bilim,60
fazlasıyla,60
düşünüyorum,60
kolay,60
orijinal,59
yoktu,59
karakterin,59
yada,59
türkiye,59
ilgi,59
televizyon,59
hale,58
kara,58
hadi,58
üstüne,58
olmasa,58
anne,58
marvel,58
batman,58
paranıza,58
hayat,58
filmlerde,57
gidip,57
dünyanın,57
beraber,57
geçiyor,57
senaryonun,57
filmine,57
alakası,57
dahil,57
arkadaş,57
düşük,56
başlayan,56
olaylar,56
arkadaşlar,56
oldum,56
giden,56
etmiş,55
polis,55
deniz,55
yıldız,55
rahatsız,55
john,54
karakterleri,54
rezalet,54
verdiği,54
yüzünden,54
