Word,Frequency
film,10181
filmin,5389
filmi,5068
filmde,2500
güzel,2429
büyük,1762
başarılı,1620
filme,1438
zaman,1436
gerçekten,1351
olmuş,1333
yönetmen,1323
sadece,1283
aynı,1279
özellikle,1235
fazla,1219
farklı,1185
aksiyon,1127
yeni,1125
bence,1099
sinema,1080
gerçek,1067
oldukça,1049
kesinlikle,1046
uzun,1039
kötü,976
oyuncu,910
sahip,871
devam,837
ortaya,829
tavsiye,815
başka,780
harika,776
önemli,772
senaryo,768
arasında,719
insan,718
hikaye,708
korku,696
adam,692
gayet,689
filmleri,676
karakter,669
yapım,640
geçen,640
konu,639
dolu,627
üzerine,622
komedi,616
gereken,614
ikinci,612
görsel,609
muhteşem,605
küçük,604
birlikte,593
oscar,586
kadın,584
genç,582
türk,577
doğru,576
ederim,572
filmden,562
karşı,558
etkileyici,554
sahneleri,553
dünya,545
gelen,544
kurgu,540
filmlerinden,539
izleyin,524
izlerken,522
izledim,506
karakteri,505
mükemmel,504
konusu,502
hikayesi,497
boyunca,496
sahne,488
derece,487
sonunda,487
filmler,483
hakkında,481
güçlü,477
belli,476
süper,476
içine,475
yüzden,470
eğlenceli,469
oyunculuk,467
savaş,464
aile,463
neredeyse,461
yönetmenin,460
hemen,458
alan,456
çıkan,454
filmdeki,452
zamanda,452
dışında,451
filminde,448
hayat,446
kısa,443
filmlerden,442
çocuk,435
seyirler,433
eski,433
gerilim,431
düşünüyorum,430
sinemada,429
yakın,422
mutlaka,421
tekrar,419
sahneler,415
izlediğim,415
animasyon,411
yandan,410
genel,410
geri,409
karakterler,405
anlamda,398
yeniden,395
hikayenin,394
üzerinden,394
geliyor,386
müthiş,386
başına,385
karakterlerin,384
ayrı,384
spoiler,380
yapan,376
serinin,375
sahnesi,373
beğendim,373
sonuna,372
dair,369
oyunculuklar,367
üzerinde,367
filmdi,367
biçimde,365
amerikan,360
olabilir,357
klasik,355
veren,351
insanın,351
merak,351
hollywood,348
vizyona,347
adeta,346
filmini,344
çizgi,343
komik,342
oyuncular,341
keyifli,339
veriyor,337
olacak,336
yılın,336
mümkün,336
insanların,329
bilim,329
gerçekçi,327
izlemek,326
hayal,325
sürekli,321
değer,320
özel,319
anlatıyor,319
açık,319
açısından,318
ardından,317
kaliteli,317
başlıyor,317
iyiydi,317
insanlar,316
başarıyor,315
duygusal,315
evet,315
karakterin,314
görüntü,314
çıkıyor,312
erkek,312
alıyor,311
tabi,310
güzeldi,307
arasındaki,306
etmek,306
kahraman,304
amerika,303
baba,303
karşımıza,301
süre,300
basit,298
durum,298
sıra,297
yüksek,294
öncelikle,293
ediyorum,292
diyebilirim,292
önceki,291
yanı,291
kalan,290
yavaş,286
filmle,285
açıdan,284
bakış,284
sağlam,282
dikkat,282
karanlık,282
çalışan,282
imza,281
yönetmeni,279
senaryosu,279
sonuç,279
john,278
filmlerinin,278
romantik,277
sonu,277
marvel,276
olmasına,275
filmlerini,274
seyirci,274
ufak,273
filminin,273
yanında,273
anda,272
başta,271
yaşayan,271
filmlerinde,270
baştan,270
yerinde,269
keyif,268
uzak,267
görmek,267
usta,266
hayatta,266
fark,266
adamın,266
filmlerin,264
savaşı,264
aldığı,263
fazlasıyla,263
ilginç,263
asıl,261
karakterleri,261
seyirciyi,261
anne,260
puan,260
sürükleyici,260
müzik,259
performans,259
verdiği,259
tahmin,258
sanırım,257
sayesinde,257
ciddi,256
insanı,256
anlatan,255
inanılmaz,253
yapımı,253
saat,253
tercih,252
dünyanın,250
sanat,250
kabul,250
işin,249
geldi,248
benzer,248
teknik,248
ağır,248
vardır,247
sahnede,247
olmasa,247
takip,246
yaşadığı,245
kişi,245
adlı,244
performansı,244
sıradan,244
gösteriyor,243
olay,242
seyirciye,242
yıllarda,241
haline,241
sona,240
yaşam,240
adına,237
türlü,234
fantastik,233
yılında,233
mesela,233
sene,233
dram,232
lazım,232
altında,231
ilgi,230
oyunculuğu,229
azından,228
mutlu,228
yorum,226
sinemasının,226
konusunda,226
içerisinde,225
star,225
kamera,225
beraber,225
hale,224
gelecek,224
doğal,224
çekici,223
yılmaz,223
zamanlarda,222
izlenmesi,221
james,221
kolay,221
yüzünden,220
yere,220
geçiyor,220
hikayesini,219
olaylar,218
tarz,218
tatmin,218
batman,217
hayatı,217
resmen,216
seyircinin,216
kara,215
üstelik,214
dramatik,213
başında,213
sineması,211
izlemeye,211
ister,211
hakkını,211
filmlerde,209
yılların,208
yarattığı,208
filmlerine,207
hele,206
yapmış,206
final,206
orijinal,206
sert,204
açıkçası,204
filminden,204
edici,204
ünlü,203
sinemaya,202
para,202
kusursuz,202
sefer,202
kalmış,201
derim,201
araya,201
filmine,200
duygu,200
söylemek,200
hızlı,199
çekilmiş,198
ölüm,197
görüyoruz,197
dakika,197
