Word,Frequency
film,7560
filmin,5002
filmi,3947
filmde,1952
büyük,1587
fazla,1349
zaman,1338
kötü,1315
sadece,1234
filme,1140
aynı,1121
yeni,1102
yönetmen,1100
güzel,1007
korku,998
sinema,973
başarılı,925
aksiyon,864
başka,849
farklı,837
uzun,823
oldukça,799
komedi,787
özellikle,785
senaryo,784
oyuncu,766
ortaya,762
devam,739
olmuş,694
sahip,690
gerçekten,672
hikaye,655
adam,655
gerçek,647
arasında,632
karakter,623
genç,620
belli,608
doğru,601
konu,592
kadın,579
üzerine,571
bence,541
dışında,533
gelen,531
filmleri,531
küçük,525
yapım,517
önemli,514
birlikte,504
karşı,504
filmler,497
hayal,492
neredeyse,480
geçen,476
ikinci,474
hollywood,468
eski,468
insan,461
filmden,458
çıkan,450
alan,449
gerilim,440
boyunca,439
üzerinden,438
yazık,436
yönetmenin,434
konusu,418
hemen,416
kısa,414
dolu,414
mümkün,413
çocuk,413
içine,411
gayet,410
karakteri,408
geri,406
dair,405
türk,397
hikayesi,395
yeniden,393
görsel,392
karşımıza,391
sahneleri,389
amerikan,389
dünya,388
kesinlikle,387
yüzden,385
aile,380
uzak,378
karakterler,377
çalışan,372
azından,365
yandan,364
derece,363
türlü,361
maalesef,356
kalan,352
vizyona,349
olabilir,348
kurgu,346
serinin,345
çıkıyor,344
karakterlerin,343
sıradan,342
filmdeki,340
süre,340
hikayenin,339
basit,339
sıkıcı,336
evet,333
durum,333
vasat,331
çizgi,330
işin,329
sonunda,328
altında,328
kalıyor,327
izlerken,327
erkek,326
yakın,326
geliyor,325
başlıyor,325
ilginç,323
başına,322
romantik,317
yapan,316
anlamda,316
sürekli,316
ilgi,316
filminde,316
oyunculuk,315
sahne,314
genel,314
sahneler,313
tercih,310
güçlü,309
açısından,308
etmek,306
klasik,305
anda,304
gereksiz,301
zayıf,300
komik,300
gereken,299
seyirci,299
sonuç,298
ardından,296
zamanda,294
izlemek,292
olacak,290
yüksek,289
veren,289
arasındaki,286
çekici,286
üzerinde,285
savaş,284
filminin,283
eğlenceli,281
hakkında,281
merak,280
tahmin,279
twitter,279
para,278
kabul,278
filmlerin,278
filmlerinin,276
amerika,272
konusunda,271
yapımı,271
animasyon,271
çalışıyor,271
tekrar,266
adlı,265
filmini,264
karar,263
hayat,260
john,259
tatmin,259
söylemek,256
orijinal,255
kalmış,255
haline,254
yönetmeni,254
filmlerden,253
dikkat,252
bilim,252
filmlerinden,251
sineması,251
biçimde,251
adına,250
klişe,249
sahnesi,249
karakterin,249
veriyor,249
alıyor,249
asıl,248
aldığı,245
hale,244
yere,242
oscar,241
giren,241
sinemada,241
teknik,240
ünlü,239
karakterleri,238
olay,237
açıdan,236
özel,236
baştan,236
ciddi,235
ortada,235
seyirciyi,231
benzer,231
içerisinde,230
etkileyici,229
fena,228
vakit,227
baba,226
düşünüyorum,226
görmek,225
ağır,224
zorunda,224
ayrı,224
saçma,223
takip,222
oyuncular,222
olmasına,221
açık,219
sonu,218
yüzünden,218
imza,218
yola,218
filmle,218
hafta,217
kolay,217
noktada,217
çekilmiş,217
dünyanın,216
haliyle,216
geldi,216
iyice,215
adamın,214
sayesinde,214
kahraman,214
popüler,214
mutlu,212
değildi,211
duygusal,210
oyunculuklar,210
başta,210
insanların,210
sanırım,208
yanlış,208
anlatıyor,208
sağlam,207
araya,207
bakış,207
adeta,206
yanında,206
görüntü,205
dakika,205
gişe,204
fark,204
insanlar,203
senaryosu,203
fantastik,203
sonuna,203
fazlasıyla,203
insanın,203
yanı,203
yavaş,202
dahil,201
karanlık,201
çeken,200
yaşayan,199
peki,199
önceki,198
olmamış,198
başında,198
tavsiye,197
mesela,197
izledim,197
geçiyor,196
lazım,196
isim,196
verdiği,196
sinemaya,196
filmlerinde,195
izleyici,195
açıkçası,194
orta,194
yarattığı,193
üstelik,192
vardır,192
filmlerini,192
dramatik,192
sinemasının,191
doğrusu,191
aşık,191
televizyon,190
edici,190
saat,189
sonuçta,189
oyuncuların,188
doğal,188
ufak,188
kırıklığı,187
keyifli,185
canlandırdığı,185
seri,185
türkiye,185
uygun,184
yılında,184
izlediğimiz,184
yılmaz,184
olunca,184
filmlerde,184
kadının,183
yana,183
yerli,182
james,182
filmine,182
hele,181
spoiler,181
final,180
karşımızda,179
gece,179
olma,179
aşırı,179
sırf,178
sanat,178
giden,178
seyircinin,177
ister,177
performansı,176
müzik,176
değer,176
kişi,175
süper,175
yıllar,175
ölüm,174
öncelikle,174
filminden,174
keşke,174
yorum,173
hızlı,173
işler,173
demek,173
hayatını,172
duruyor,172
anne,172
yeterince,170
başlayan,170
yıllarda,169
david,169
hikayeye,169
roman,168
filmlerine,168
savaşı,168
düşük,168
isteyen,168
sonrasında,168
yaşadığı,167
konuda,167
olmasa,167
hali,167
başarıyor,166
adım,166
hikayesini,166
sorun,166
adamı,166
seyirciye,165
varsa,165
tabi,165
olmaya,165
eder,165
kızı,165
öykü,163
kara,163
hayatta,162
elinden,162
türün,162
tarz,162
izlenebilir,162
politik,162
istanbul,161
yaşanan,161
türden,161
yerini,161
michael,160
sıra,160
yapmaya,160
kamera,160
yerinde,160
sene,160
puan,160
beraber,160
ortalama,158
hayli,158
senaryonun,157
önüne,157
gerçekçi,156
çalıştığı,156
çocuklar,156
gmail,155
çıkmış,155
birer,155
hitap,155
fransız,155
mevcut,155
olaylar,154
gerekiyor,153
tarzı,152
ilerleyen,152
durumda,152
tarafı,152
çektiği,151
hayatı,151
ciddiye,151
hikayeyi,151
göze,151
üstüne,151
yerde,151
harika,150
oluşan,150
olmaktan,149
söyleyebiliriz,149
getiriyor,148
yapılmış,148
sona,147
insanı,146
yalnız,146
dönem,146
yeterli,145
kafa,145
gelecek,145
usta,144
yaşam,144
filmdi,144
sebep,144
düzgün,144
sahnede,144
olmadığını,143
polis,143
gösteriyor,143
epey,142
fikir,142
dizi,142
performans,142
arka,142
intikam,142
heyecan,141
izliyoruz,141
izlediğim,141
rahatsız,141
tarihi,141
sevimli,141
başarısız,140
başrol,140
mantık,139
macera,139
bulunan,139
örnek,139
diyebiliriz,138
karakterinin,138
ingiliz,138
oynayan,138
öyküsü,138
sefer,137
almış,137
aşkın,136
etmiş,136
anlatan,136
modern,135
sonraki,135
babası,135
evde,135
keyif,135
dram,135
yaratıcı,134
üçüncü,134
dönüşüyor,134
daki,134
olmuyor,133
serisi,133
hayata,133
sahibi,132
izleyin,132
oyunculuğu,132
herhalde,132
genelde,132
zengin,132
muhteşem,132
gelmiş,132
oynadığı,131
başarıyla,131
vermek,131
yapmış,131
çekilen,131
canlandıran,130
birbirine,130
sinemasal,130
yolu,130
beyaz,130
istediği,129
durumu,129
efektler,129
taşıyan,129
filmlere,129
abartılı,128
izleyiciyi,128
yönetmenlik,128
filmiyle,128
giriş,128
sürpriz,128
sonrası,127
elde,127
yerden,127
bölüm,127
hakkını,127
anlatım,126
alıp,126
geçmiş,126
izlemeye,126
gidip,126
şiddet,125
sert,125
kısmı,125
etmeye,125
atmosfer,125
türü,125
kere,124
sebebi,124
robert,124
yaratıyor,124
olumlu,124
kısacası,123
görüyoruz,123
yaşlı,123
festivali,123
kızın,123
yetersiz,123
ilerliyor,123
edilen,122
senarist,122
şeyin,122
ziyade,122
yazar,122
diyebilirim,121
olduğuna,121
etkisi,121
vampir,121
sahnelerde,121
seyirler,120
aksine,120
isimli,120
giderek,120
yabancı,120
örneğin,120
derken,120
adını,120
eksik,120
gizli,120
derin,119
grup,119
günü,119
görünüyor,119
kişisel,119
rolünde,119
dönemde,119
çocukların,118
amacı,118
serisinin,117
olabilecek,117
yıldız,117
etkili,117
temel,117
sosyal,117
iyiydi,117
inandırıcı,117
birden,117
mizah,117
sinemanın,116
esas,116
insanları,116
yanına,116
duran,116
bağımsız,116
oyun,116
sürü,116
olurdu,115
denli,115
istemez,115
hareket,115
getiren,115
ortak,115
edilebilir,114
tıpkı,114
gördüğümüz,114
özgün,114
anlamıyla,114
gidiyor,114
verici,114
anlam,113
kaliteli,113
nedeniyle,113
umut,113
kesin,113
ibaret,113
yoktu,113
duygu,113
resmen,113
çılgın,112
normal,112
diyaloglar,112
dünyaya,112
gizemli,112
istiyor,111
mükemmel,111
ailenin,111
atan,111
olduğumuz,111
günümüz,110
müthiş,110
harry,110
şans,110
peter,110
geriye,110
fazlaca,110
olmayı,110
dünyayı,109
yılların,109
peşinde,109
arkadaşı,109
proje,109
yapımcı,109
değişik,108
olmasını,108
beklenti,108
yolculuk,108
zorlama,108
tuhaf,108
sunuyor,108
kadrosu,108
hava,107
şüphesiz,106
espriler,106
çekiyor,106
aşağı,106
jack,106
gelince,106
ucuz,106
dünyada,106
kendilerini,106
altın,106
derecede,106
öykünün,105
mesaj,105
taşıyor,105
saygı,105
nedense,105
sıkı,105
almak,105
şaşırtıcı,105
süresi,104
karşısına,104
ince,104
rolü,104
yılın,104
karakterini,104
olacaktır,104
perdeye,104
soru,104
cinsel,104
örneği,104
bambaşka,103
ülkemizde,103
noktadan,103
hedef,103
yazdığı,103
senaryosunu,103
geçtiğimiz,103
başaran,103
başından,102
bununla,102
etmiyor,102
etrafında,102
çeşitli,102
tehlikeli,102
güzeldi,102
giriyor,102
öteye,102
garip,102
altına,101
havada,101
edilmiş,101
değildir,101
dakikalık,101
ailesi,101
fiziksel,101
ilişki,101
görünen,100
finale,100
plana,100
elinde,100
gerekir,100
karışık,100
fikri,100
ismi,100
oyuncusu,100
koca,100
bölümü,99
birini,99
alarak,99
verilen,99
psikolojik,99
lakin,99
benzeri,99
edip,99
hafif,99
arkadaş,99
ifade,99
kısaca,99
anlatmak,99
olsaydı,98
çekmek,98
yazılmış,98
birinin,98
terk,98
ederim,98
jason,98
yarım,98
sebebiyle,98
berbat,98
yavan,98
sonucu,98
atmosferi,97
beğenmedim,97
aşkı,97
oyunu,97
noktaya,97
yönetmenliğini,97
önünde,97
yarı,97
çıkar,97
paris,97
cinayet,97
bütçeli,97
zeki,97
havası,96
avrupa,96
sıcak,96
etki,96
çıkış,96
şeytan,96
konuyu,96
dövüş,96
izledikten,95
murattolga,95
yaratan,95
oğlu,95
zamanlarda,95
istiyorum,95
izleme,95
hissi,95
mutlaka,95
mekan,95
şeklinde,94
bilgisayar,94
uyarlanan,94
koltuğunda,94
ediyorum,94
kırıklığına,94
katil,94
oyuncuları,94
izlemiş,93
yarısı,93
içindeki,93
yazarı,93
seven,93
sorunu,93
evin,93
deki,93
rahat,93
düşen,93
olmanın,93
dolarlık,93
gösterime,92
beyazperdeye,92
bolca,92
sonunu,92
senaryoya,92
tane,92
düşüyor,92
toplumsal,92
kalmıyor,92
babasının,92
derim,92
vaat,92
amerikalı,91
çatışma,91
olursak,91
senaryoyu,91
dediğim,91
çocuklara,91
başlar,90
başarısı,90
olabilirdi,90
yapısı,90
finali,90
karşıya,90
yetenekli,90
geniş,89
kadro,89
tipik,89
vermiş,89
gençlik,89
olacağını,89
efekt,89
sinemasına,89
yardım,89
video,89
çekim,89
getirdiği,89
üstünde,89
tanıdığımız,89
senaryoda,88
hizmet,88
banubozdemir,88
kahramanı,88
oyuncunun,88
cesur,88
yaklaşık,88
türünün,88
gösteren,88
hikayesinin,88
konuya,88
