Word,Frequency
film,13237
filmin,8988
filmi,6824
filmde,3569
büyük,2865
güzel,2392
zaman,2378
fazla,2328
yönetmen,2199
aynı,2172
başarılı,2144
filme,2096
yeni,1960
farklı,1872
özellikle,1854
sadece,1744
oldukça,1723
kötü,1723
aksiyon,1716
sinema,1692
uzun,1545
oyuncu,1450
sahip,1444
devam,1421
ortaya,1406
olmuş,1392
gerçek,1345
başka,1320
korku,1272
genç,1265
önemli,1256
arasında,1216
kadın,1215
gerçekten,1205
doğru,1140
küçük,1137
karakter,1114
üzerine,1108
senaryo,1075
hikaye,1067
komedi,1054
birlikte,1044
gelen,1018
yapım,1010
bence,996
konu,983
gayet,977
karşı,976
adam,924
belli,903
geçen,894
ikinci,890
çıkan,889
yandan,887
dışında,884
insan,869
eğlenceli,858
filmleri,847
neredeyse,842
alan,829
filmden,828
kesinlikle,827
görsel,805
eski,782
karakteri,781
içine,781
yüzden,779
gerilim,770
hikayesi,769
yeniden,765
sahneleri,759
yönetmenin,757
çocuk,757
anlamda,749
konusu,748
dünya,745
kısa,728
dolu,721
boyunca,721
mümkün,716
geri,713
filmler,708
üzerinden,708
hollywood,705
yakın,702
izlerken,702
genel,697
karşımıza,691
türk,685
keyifli,684
karakterler,676
dair,675
hemen,670
açısından,665
güçlü,659
hayal,657
gereken,651
çıkıyor,643
filmdeki,638
çalışan,638
serinin,637
ardından,634
aile,627
sahneler,618
biçimde,618
başına,617
hikayenin,615
etkileyici,615
karakterlerin,614
hayat,613
filminde,610
derece,610
arasındaki,603
kalan,603
olacak,593
erkek,590
etmek,582
yüksek,581
geliyor,580
seyirler,579
kurgu,575
yapan,567
üzerinde,565
vizyona,564
sürekli,560
komik,557
veren,557
sahne,556
başlıyor,556
başarıyor,555
sonunda,554
zamanda,550
evet,547
sonuç,546
izlemek,545
tercih,540
düşünüyorum,539
konusunda,536
savaş,534
durum,533
klasik,530
amerikan,529
süre,529
filmlerinden,526
hakkında,524
yanı,524
ilginç,519
filminin,519
oyunculuk,518
tatmin,514
tekrar,510
söylemek,508
uzak,504
