review,sentiment
film basit geldi kendimi tiyatrosunda hissettim heyecan beklerdim oyunculuklar kötü dediğim senaryo dümdüz ilerliyor filmin başındayken sonunda olacağını kestirebildim beklentiye girmeden izlenebilir izlediğim pişman değilim hayal kırıklığı yaşadım,Bad
izlenilebilir film sinemaya gidip para vermeye değer emin değilim yarı sahnesi para etmez uzaylı ırkı izlemeye geldik maşk aile sahneleri izlemeye allahtan sona doğru toparladı güçlüler diyorlar güçlükleri thora felan meydan okuyamaz umudum thor venoma gitmedim,Bad
marvelin kötü filmlerden gereksiz yere uzatılmış hiçbirşeyi anlatamayan film eleştirildiğini anlamak chlaoe yönetmeni getirirsen normal sahnesi lgbt sahnelerinden dolayıda tepki çekti bide ekliyim film shang olmamasına 13te sevişme sahnesiyle kötü film,Bad
filime sevgilimle gittim filimde erotizim içerikli sahneler hatırlamıyorum filimden çıkarken verdiğim paraya acıdım keşke izlemeseydim izlediğim saçma filim almıyorsun filimden,Bad
farkli senaryo surukleyicilogi dusuk oyuncularin role uyumlulugu sinema icin sanirim vakit kaybi diyebilirim,Bad
öncelikle fikrimi belirtmek isterim kitabın filme uyarlanması zaman başarısızlıkla sonuçlanmıştır maalesef konuda yanıltmadı kitabı okuyan kesim vasattı film oyuncu kadrosundan sahnelere çarçabuk sahneler hemen geçildi kitapta karakterlerin hissettiği filmde yansıtılamadı kitabı okumayan kesim üzgünüm filmden anlamamış olmalılar havada kaldı cristian karakteri özellikle şuan okumayan kitle cristian sadece zengin sadist zevkleri sapıkça tekrar üzülerek belirtiyorum film müzik seçimleri olmuş tavsiye belirtmek isterim serinin kitabını alın okuyun pişman olmayacaksınız,Bad
diyemiyeceğim izlerken neye para verdim üzüldüğüm jason statham kurtaramamış vallaha tutabilecek ritcie yönetmen yapmış anlamadım gitmeyin vallaha,Bad
konuyu anlatamamis gereksiz uzun mantik hatalari dolu yerde anlamsiz bölümlerin film kerem akça güzel yorumlamis yorumunu okuyun bence gitmeden,Bad
filme başlamadan internete ismini yazdım yüzde beğenilme diyordu kesin aşırı güzel hiçte senaryoda sadece uzaya çıkmalarına güzel diyebildim sonrası sacmaydi anlamadığım sonunda birbirini öldürmek istiyor adam karadelige düşüyo sonrada geçmişini değiştirmeye calisiyor karadelik ciktiginda geçmiş çocuğu nenesi yaşında anlatımların filmde boyle yuksek puan alabiliyor deseniz herhalde ahmak derim başka galaksiye gidiyor gezegende kalmanın dünya yilina gore zamanını adam kağıt parçasıyla olcuyo aklıma ornek geliyo bence izlemeyin güzel diyende inanmayin,Bad
saatim boşuna geçti diyebilirim konusu inandırıcı gelmedi sürükleyiciliği yoktu,Bad
