review,sentiment
filme ağır işliyor diyenler kitabın serisini okumuşlar kitap ağır kötü bekliyordum okurken hayal gücünüzü zorluyor çekebilmelerine şaşırdım kitabı seriden yapacaklarını okumuştum yerde ağır bilim kurgu siyaset politika savaş felsefe ararsan kitapta birini saate sığdırsınlar başarılıydı,Very Good
çekilen filmi kişi beğenmemiştir güzel özel yeri vardır saat civarı olmasına anlatılması eksik kalan düşünmüştüm umarım film serisinde bilimkurgu demek bence dune demek,Very Good
film harika oyuncular profesyonel gerçekten beğendim müzik fonu gelecekte suyu kaçırma fikri ürkütücü gerçek,Very Good
öncelikle filmi beğendim fırsatta gitmenizi kesinlikle tavsiye ederim filmin olay örgüsünü beğendim film 1965 yılında yazılmış dune uyarlanmıştır kitap uyarlaması filmlere kitabı beğenmiş olsam hafif yargım sinemaya uyarlanan kitapta senaryoya uygunluk değişiklikler yapılır harry potter serisini örnek verebiliriz kitabı okumuş filmin işlenmesini baya beğendim kitabı parçaya bölerek başarmışlar imkanı sayfalık kitabı saate anlatamazlardı oyuncu seçimi oyunculuklar gayet güzel filmin müzikleri oturmuş devam filmi gişeye onay alacağı ricam filmi sinemada izleyip arkadaşlarınıza önermeniz potansiyali seriden yeni star wars etkisi yartması bekleniyor,Very Good
filmi izlediğim mutlu olduğumu belirterek filme gitmeden kitaplarını okuyun yada bilgilendirici video izleyin önerim barış özcan dune videosu yeterli bilgiyle gitmeseniz anlamakta zorlanırsınız,Very Good
film ağır ilerlemesi sayesinde gerçekten kavrıyorsun hissediyorsun filmi müzikler sahnelere oturmuş etkileyiciydi,Very Good
fragmanını izledikten hemen filmi aramaya koyuldum link üzerinden buldum https link dunetr kitabını beğenmiştim umarım devamı gelir,Very Good
merhaba film acayip güzel film güzel film görmedim film bölümü gelir bence dune kitabı sayesinde yüzüklerin efendisi star warsve dune filmi yapıldı,Very Good
filmi beğenmeyenlerin sinema açık sıkınıtıları yerlerde eksik kalmışlar filme yavaş akıyor denmesi evet yavaş akmalı ordaki duygu mistisizim aktarılabilir yavaştır hızlı kumlar depeler oluşmaz kitabını tavsiye eder giderim filmden buralarda eleştiri yapanlar ekstra övmeye başlamayın lütfen,Very Good
perfecto perfecto,Very Good
