review,sentiment
anlamıyla vakit kaybı lüzumsuz sahnelerle uzayan sarkan akmayan film birbirinden kopuk kopuk ilerleyen 57inci dakikasına içine almayan felaket ötesi film abartılı yetersiz oyunculuk cabası aktarılamayan hikaye ırkların özellikleri nicesi uzak durun,Very Bad
berbat ötesi gereksiz sahne diyeyim film akmıyor diyeyim olaylar arasındaki bağlantı kopuk diyeyim bitmesi ettim resmen,Very Bad
gerçekten şaşkınım ikinci kere kandırıldığıma inanamıyorum başta yazılı yorumdaki övgülere kanarak filme gittik sonuç gerçekten rezalet olabilirdi blade runner 2049 filminin yönetmeni okuduğumda eyvah demiştim boğucu sıkıcı niteliksiz benzemeyen vermeyen film aklımdan geçmişti övgüler yapılmış kötü berbat olabilir imdb puanı blade runner tesadüf bilim kurgu başyapıtı sahneden gözünüzü alamıyorsunuz hipnotik etki avatarla rekabet cüretkar abartılı ifadelerle övülen film hakkındaki gerçek deneyimimiz hayatımda filmi film arasında ikinci yarısını izlemeye dayamadan terk ettim pahalı bilet imax resmen işkenceydi sıkıcı boğucuydu ağır diyenleri nazara alarak yüksek kahve içmeme yerinde kapaklarımı zorla aşağıya çekiyordu bakınız görsel efekt namına görsellik namına hayran bırakan sahne efekti yüksek sesli resmen gürültü seslerle işkence bakın film yavaş akabilir sakin olabilir keyifle izlenmesine sürükleyici olmasına mani olmayabilir durum film uyduruk anlamsız konu tempo sürükleyicilik heyecan merak manasız saçmasapan konu güya ımax izliyorsunuz dakikalarca durağan karşılıklı durup aptalca diyaloglar kuran insanları izliyorsunuz yerde bilim kurgu yapıt neyin ımax yahu yalanınız batsın filmi övmek para verdiler avatarla karşılaştırılmış zıddı film avatar benzer yanı avatar sahip olumlu özelliğe sahip niteliksiz özelliksiz film tabi internette film kısa fragman dolu övgü yüksek imdb puanları görünüyor etrafta kapalı gişe oynadığına dair haberler tutsak seyirci mecburen merak ediyorsunuz merakınızı gidereceğiniz yere sinemaya gidiyorsunuz boğazımı sıktı film boyunca sıkılıp boğulduğumu uykumun geldiğimi hatırlamıyorum benzerini blade runner 2049 yaşamıştım aynısını tekrar yaşadığıma inanamıyorum paramla rezil olduğumu dünya çapında büyük kandırmaca olduğuna inandım inanamadığım insanlar filmi izleyince hayır film film kelimeyle berbat ötesi deneyim sunuyor övüyorsunuz diyecek cesareti bulamıyorlar övülmüş yüksek puanlar almış birileri anlamamışsın seviyen filmi anlamaya yetmemiş eşeksin hoşaftan anlamamışsın diyecekler korkuyorlar çekiniyorlar vallahi çekinmiyorum yazıyorum duymayanlar duysun film berbat ötesi filmdir inanmazsanız deneyin görün içtiğinizin hoşaf olduğuna inanabilirsiniz tadı gelebilir düşünmüyoruz,Very Bad
kesinlikle vakit kaybı film dönemde iddialı reklamı izlediğim film avatar star wars tremors black panter çorbası konu izleyiciye vereceği yenilik oyuncular filmi kurtaramamış izlemek harcadığım zamana yazık,Very Bad
hayatımda kötü film izlememistim zendaya filmde 5saniye görünüyor fragmandaki yaşamıyorlar,Very Bad
filmin ünde uyudum derece sıkıcı gelecek filmleri bilmiyorum zamanlarda izlediğim sıkıcı film,Very Bad
kesinlikle övüldüğü güzel filmin yarısında çıktım yaşındaki çocuklara gelebilir yere para yatırmışlar baharattan soğudum,Very Bad
ömrümden ömür çaldı film ımdb yüksek bilmiyorum izleyenin güzel film diyenin aklına şaşarım kötü film,Very Bad
film 10119 geçiyor ferman okunup mühür basılıyor teknoloji ileride geride fremenler teknoloji kıyafet üretiyor solucanı gelmesin dansı yaparak yürüyor 10119 yılında sessiz uçamıyorlar sözde politika yapmaya gidiyorlar hükümdarın oğlu doktora direk fremen misin soruyor incelikli politika gezegende halk halkın yaşadığı mekan helikopterin yandan pervanelisi üstün teknoloji bugün sihalar ihalar savaşıyoruz meydan savaşı adamlar ayrı gezegende yaşıyor fiziksel özelliklerinde belirgin fark çöken amerika dökülen filmi olmuş,Very Bad
maalesef hayal kırıklığı lağım film akmıyor lağım,Very Bad
