Word,Frequency
film,2114
filmi,821
kötü,647
filmin,531
berbat,444
yazık,342
saçma,332
filme,324
filmde,314
zaman,287
sadece,247
izlediğim,229
güzel,228
para,226
hayatımda,205
kaybı,204
senaryo,193
kesinlikle,193
konu,180
türk,170
gerçekten,166
büyük,158
olmuş,157
bence,154
gitmeyin,153
filmdi,150
hayal,148
sapan,148
komedi,141
korku,137
resmen,134
sinema,133
tavsiye,133
sıkıcı,131
fazla,125
başka,125
izledim,123
filmden,119
rezalet,118
gereksiz,115
yılmaz,110
vakit,108
adam,106
geri,106
konusu,105
filmleri,103
filmler,103
sakın,103
aynı,102
basit,100
saat,98
boşa,95
ötesi,94
izlemeyin,93
kurgu,93
gittim,91
paraya,91
belli,89
iğrenç,86
spoiler,85
yorum,85
uzun,83
oyuncu,81
izlerken,79
komik,79
oyunculuk,78
yapılmış,75
kırıklığı,75
sahne,72
filmlerden,71
kişi,71
izlemek,70
etmiyorum,70
paranıza,69
vasat,68
merak,67
sırf,66
sonunda,66
puan,66
oyuncular,65
ikinci,64
izleyin,63
insan,62
boşuna,62
uzak,62
sinemaya,60
kadın,60
gidip,59
zamana,59
küfür,59
izlemeye,59
aksiyon,59
saatimi,58
bişey,58
keşke,58
dolu,56
sonu,55
kotu,55
sahneler,55
boyunca,55
verin,55
dışında,55
olmamış,55
filim,54
yeni,54
insanlar,54
dedim,54
beğenmedim,54
sinemada,53
yönetmen,53
hikaye,53
rezil,52
fatih,51
kötüydü,51
sonuna,50
oyunculuklar,50
yere,50
gidin,50
sahneleri,50
derece,49
filmini,49
arkadaşlar,49
sonuç,49
yazik,49
sahnesi,49
verdiğim,48
dakika,48
özellikle,48
devam,48
olamaz,48
hele,47
gerçek,47
kere,47
geldi,47
maalesef,47
allah,47
altında,47
doğru,46
lütfen,46
anlamsız,46
geçen,46
görmedim,45
sıfır,45
yada,45
izlemedim,45
değildi,45
olabilir,44
ediyorum,44
ortaya,44
recep,44
kelimeyle,43
desen,43
arasında,43
sahip,43
çocuk,43
yarısında,43
zamanınıza,42
çıktım,42
aşırı,42
yoktu,42
ortada,42
oldum,41
etmem,41
karakterler,41
olacak,41
gittik,41
icin,41
hemen,40
filmdeki,40
oldukça,40
bitti,40
yüksek,40
türlü,39
sanırım,39
anlamadım,39
istanbul,39
adına,39
hakkında,38
erkek,38
sanat,38
giden,38
reklam,38
pişman,38
sıradan,38
üzerine,37
gitti,37
varsa,37
değmez,37
kaliteli,37
dram,37
dünya,37
amerikan,37
yıldız,37
izledigim,37
sonunu,37
klişe,36
düşünüyorum,36
mesaj,36
olmus,36
yapım,36
türkiye,36
filmlere,35
açık,35
başarılı,35
ivedik,35
verilen,35
kopuk,35
tane,35
filmlerini,34
osmanlı,34
degil,34
sürekli,34
demek,34
fiyasko,34
filmlerinden,34
mantık,34
gerilim,34
saçmalık,34
insanların,33
harcamayın,33
etmez,33
gelen,33
ettim,33
sacma,33
filmle,33
çekilmiş,33
senaryosu,33
küçük,33
animasyon,33
bekledim,32
yapan,32
almış,32
etmek,32
arkadaş,32
karakter,32
baştan,31
değilim,31
oscar,31
yanlış,31
nedir,31
yüzden,31
olay,31
emoji,31
farklı,31
kelime,30
